Geo_GEOID,Pop_Poverty
14000US36047024000,2365
14000US36047024100,746
14000US36047024200,485
14000US36047024300,636
14000US36047024400,1080
14000US36047024500,492
14000US36047024600,409
14000US36047024700,864
14000US36047024800,196
14000US36047024900,781
14000US36047025000,253
14000US36047025100,812
14000US36047025200,1000
14000US36047025300,763
14000US36047025400,659
14000US36047025500,2015
14000US36047025600,857
14000US36047025700,447
14000US36047025800,966
14000US36047025901,450
14000US36047025902,1860
14000US36047026000,408
14000US36047026100,1638
14000US36047026200,154
14000US36047026300,462
14000US36047026400,777
14000US36047026500,541
14000US36047026600,389
14000US36047026700,437
14000US36047026800,578
14000US36047026900,645
14000US36047027000,688
14000US36047027100,536
14000US36047027200,672
14000US36047027300,328
14000US36047027400,451
14000US36047027500,858
14000US36047027600,556
14000US36047027700,1074
14000US36047027800,292
14000US36047027900,570
14000US36047028000,270
14000US36047028100,1597
14000US36047028200,493
14000US36047028300,1122
14000US36047028400,553
14000US36047028501,142
14000US36047028502,898
14000US36047028600,1268
14000US36047028700,793
14000US36047028800,534
14000US36047028900,1155
14000US36047029000,1043
14000US36047029100,283
14000US36047029200,424
14000US36047029300,1000
14000US36047029400,495
14000US36047029500,970
14000US36047029600,1367
14000US36047029700,809
14000US36047029800,957
14000US36047029900,589
14000US36047030000,605
14000US36047030100,733
14000US36047030200,639
14000US36047030300,1166
14000US36047030400,816
14000US36047030500,686
14000US36047030600,378
14000US36047030700,3046
14000US36047030800,137
14000US36047030900,405
14000US36047031100,611
14000US36047031300,797
14000US36047031401,294
14000US36047031402,0
14000US36047031500,764
14000US36047031701,288
14000US36047031702,320
14000US36047031900,223
14000US36047032100,678
14000US36047032300,705
14000US36047032500,1139
14000US36047032600,2890
14000US36047032700,368
14000US36047032800,498
14000US36047032900,1748
14000US36047033000,1871
14000US36047033100,850
14000US36047033300,1077
14000US36047033500,422
14000US36047033600,793
14000US36047033701,213
14000US36047033702,271
14000US36047033900,1092
14000US36047034000,603
14000US36047034100,490
14000US36047034200,2230
14000US36047034300,2125
14000US36047034500,544
14000US36047034700,822
14000US36047034800,950
14000US36047034901,407
14000US36047034902,829
14000US36047035000,543
14000US36047035101,660
14000US36047035102,386
14000US36047035200,547
14000US36047035301,883
14000US36047035302,269
14000US36047035400,650
14000US36047035500,707
14000US36047035601,599
14000US36047035602,439
14000US36047035701,639
14000US36047035702,0
14000US36047035900,2077
14000US36047036001,900
14000US36047036002,1515
14000US36047036100,1047
14000US36047036200,898
14000US36047036300,1716
14000US36047036400,480
14000US36047036501,544
14000US36047036502,464
14000US36047036600,1443
14000US36047036700,216
14000US36047036900,1981
14000US36047037000,662
14000US36047037100,707
14000US36047037300,1196
14000US36047037401,695
14000US36047037402,696
14000US36047037500,388
14000US36047037700,900
14000US36047037900,1249
14000US36047038100,1219
14000US36047038200,2333
14000US36047038300,990
14000US36047038500,407
14000US36047038600,375
14000US36047038700,1224
14000US36047038800,677
14000US36047038900,391
14000US36047039000,286
14000US36047039100,748
14000US36047039200,362
14000US36047039300,880
14000US36047039400,592
14000US36047039500,1031
14000US36047039600,294
14000US36047039700,762
14000US36047039800,424
14000US36047039900,926
14000US36047040000,363
14000US36047040100,956
14000US36047040200,571
14000US36047040300,844
14000US36047040400,345
14000US36047040500,180
14000US36047040600,538
14000US36047040700,0
14000US36047040800,182
14000US36047040900,1533
14000US36047041000,337
14000US36047041100,786
14000US36047041200,855
14000US36047041300,625
14000US36047041401,449
14000US36047041402,290
14000US36047041500,738
14000US36047041600,345
14000US36047041700,777
14000US36047041800,611
14000US36047041900,1505
14000US36047042000,399
14000US36047042100,718
14000US36047042200,668
14000US36047042300,511
14000US36047042400,711
14000US36047042500,778
14000US36047042600,826
14000US36047042700,1231
14000US36047042800,358
14000US36047042900,1762
14000US36047043000,547
14000US36047043100,1151
14000US36047043200,466
14000US36047043300,1281
14000US36047043400,1094
14000US36047043500,1219
14000US36047043600,848
14000US36047043700,1249
14000US36047043800,563
14000US36047043900,752
14000US36047044000,529
14000US36047044100,1229
14000US36047044200,422
14000US36047044300,1041
14000US36047044400,878
14000US36047044500,934
14000US36047044600,454
14000US36047044700,874
14000US36047044800,214
14000US36047044901,1187
14000US36047044902,0
14000US36047045000,160
14000US36047045200,201
14000US36047045300,1083
14000US36047045400,184
14000US36047045600,233
14000US36047045800,135
14000US36047046000,562
14000US36047046201,259
14000US36047046202,273
14000US36047046400,954
14000US36047046800,439
14000US36047047000,326
14000US36047047200,790
14000US36047047400,824
14000US36047047600,569
14000US36047047700,363
14000US36047047800,972
14000US36047048000,1196
14000US36047048100,424
14000US36047048200,689
14000US36047048400,1187
14000US36047048500,504
14000US36047048600,688
14000US36047048800,727
14000US36047048900,1524
14000US36047049000,1067
14000US36047049100,2150
14000US36047049200,1139
14000US36047049301,960
14000US36047049302,1810
14000US36047049400,788
14000US36047049500,386
14000US36047049600,791
14000US36047049700,161
14000US36047049800,279
14000US36047049900,149
14000US36047050001,26
14000US36047050002,43
14000US36047050100,314
14000US36047050202,191
14000US36047050300,268
14000US36047050401,404
14000US36047050402,138
14000US36047050500,982
14000US36047050600,1018
14000US36047050700,1424
14000US36047050801,789
14000US36047050803,449
14000US36047050804,634
14000US36047050900,3287
14000US36047051001,904
14000US36047051002,323
14000US36047051100,1126
14000US36047051200,951
14000US36047051300,612
14000US36047051400,1782
14000US36047051500,125
14000US36047051601,836
14000US36047051602,494
14000US36047051700,218
14000US36047051800,193
14000US36047051900,241
14000US36047052000,388
14000US36047052300,1000
14000US36047052500,726
14000US36047052600,446
14000US36047052700,808
14000US36047052800,253
14000US36047052900,1583
