Geo_GEOID,Origin_Native_Born,Origin_Foreign_Born,Origin_Foreign_Origin_Naturalized_Citizen,Origin_Foreign_Origin_Not_a_Citizen
14000US36005036100,3921,1655,808,847
14000US36005036300,5217,2300,1165,1135
14000US36005036400,1416,1149,712,437
14000US36005036501,2775,1126,743,383
14000US36005036502,1671,949,419,530
14000US36005036700,1842,553,300,253
14000US36005036800,1530,579,367,212
14000US36005036901,1588,513,185,328
14000US36005036902,1633,441,203,238
14000US36005037000,1235,1181,786,395
14000US36005037100,2831,1395,1008,387
14000US36005037200,1108,1024,708,316
14000US36005037300,4430,1943,949,994
14000US36005037400,2635,1226,690,536
14000US36005037504,2222,1101,563,538
14000US36005037600,1367,830,414,416
14000US36005037800,1967,933,570,363
14000US36005037900,3714,1755,771,984
14000US36005038000,3388,1851,857,994
14000US36005038100,3755,3892,1801,2091
14000US36005038200,2116,984,619,365
14000US36005038301,2212,2872,1077,1795
14000US36005038302,4341,1691,717,974
14000US36005038500,3400,1366,499,867
14000US36005038600,4696,4193,2429,1764
14000US36005038700,2232,1591,278,1313
14000US36005038800,1612,1151,722,429
14000US36005038900,3627,1894,600,1294
14000US36005039000,1958,903,473,430
14000US36005039100,4215,3329,1150,2179
14000US36005039200,798,804,481,323
14000US36005039300,6198,2132,914,1218
14000US36005039400,3722,1925,841,1084
14000US36005039500,3068,1189,610,579
14000US36005039600,3218,1804,1104,700
14000US36005039700,3198,546,209,337
14000US36005039800,2148,1694,1169,525
14000US36005039901,3162,2456,1152,1304
14000US36005039902,2953,2693,852,1841
14000US36005040100,2393,2085,714,1371
14000US36005040302,2137,2055,741,1314
14000US36005040303,2592,2308,1126,1182
14000US36005040304,2012,1581,682,899
14000US36005040400,2140,1460,1112,348
14000US36005040501,2369,2030,765,1265
14000US36005040502,4368,2896,1320,1576
14000US36005040600,2203,1344,806,538
14000US36005040701,1264,1856,559,1297
14000US36005040702,4142,2881,1697,1184
14000US36005040800,2781,2045,1008,1037
14000US36005040900,2012,1182,948,234
14000US36005041100,2050,1460,503,957
14000US36005041300,5049,3628,1212,2416
14000US36005041400,2551,2607,1848,759
14000US36005041500,3594,2773,1176,1597
14000US36005041800,2085,1791,973,818
14000US36005041900,3643,2392,1212,1180
14000US36005042000,2414,1792,968,824
14000US36005042100,3620,2041,632,1409
14000US36005042200,1991,1294,761,533
14000US36005042300,2763,1550,705,845
14000US36005042400,1590,979,716,263
14000US36005042500,3270,2905,1237,1668
14000US36005042600,3335,3394,2562,832
14000US36005042800,1030,1090,728,362
14000US36005042901,1853,1708,523,1185
14000US36005042902,2354,1687,604,1083
14000US36005043000,1870,1629,1168,461
14000US36005043100,5872,4374,1915,2459
14000US36005043400,1747,1963,1041,922
14000US36005043500,407,92,60,32
14000US36005043600,1225,795,534,261
14000US36005044200,2609,1410,894,516
14000US36005044400,2227,2068,1382,686
14000US36005044800,998,1077,779,298
14000US36005044901,1283,480,320,160
14000US36005044902,1409,632,390,242
14000US36005045101,1070,385,242,143
14000US36005045102,1555,400,218,182
14000US36005045600,1816,1404,981,423
14000US36005045800,4695,1049,744,305
14000US36005046000,2544,702,602,100
14000US36005046201,20798,7311,6121,1190
14000US36005046202,6339,3573,2103,1470
14000US36005048400,2185,2092,1182,910
14000US36005050400,0,0,0,0
14000US36005051600,3588,943,423,520
14000US36047000100,3897,508,376,132
14000US36047000200,801,366,125,241
14000US36047000301,3572,352,243,109
14000US36047000501,3363,945,462,483
14000US36047000502,2231,466,272,194
14000US36047000700,3369,537,286,251
14000US36047000900,3796,722,443,279
14000US36047001100,1060,408,143,265
14000US36047001300,1537,380,252,128
14000US36047001500,6252,2759,1140,1619
14000US36047001800,1434,463,98,365
14000US36047002000,820,592,110,482
14000US36047002100,4116,990,275,715
14000US36047002200,2392,2306,896,1410
14000US36047002300,3160,1059,509,550
14000US36047002901,3272,1175,535,640
14000US36047003000,1181,537,414,123
14000US36047003100,2549,710,478,232
14000US36047003300,3215,987,538,449
14000US36047003400,2036,1125,731,394
14000US36047003500,1504,403,173,230
14000US36047003600,2125,1375,1125,250
14000US36047003700,1717,533,224,309
14000US36047003800,990,381,317,64
14000US36047003900,1764,498,225,273
14000US36047004100,3287,367,180,187
14000US36047004300,3083,644,343,301
14000US36047004400,2035,483,418,65
14000US36047004500,2916,469,265,204
14000US36047004600,1059,242,197,45
14000US36047004700,1505,372,181,191
14000US36047004900,2219,393,207,186
14000US36047005000,1656,604,488,116
14000US36047005100,2239,505,360,145
14000US36047005201,1107,600,503,97
14000US36047005202,1828,614,426,188
14000US36047005300,1837,330,158,172
14000US36047005400,2271,914,669,245
14000US36047005601,1873,574,369,205
14000US36047005602,1274,413,233,180
14000US36047005800,1809,1018,559,459
14000US36047005900,1106,107,54,53
14000US36047006000,2078,1070,479,591
14000US36047006200,1664,1012,648,364
14000US36047006300,1575,291,153,138
14000US36047006400,2238,804,509,295
14000US36047006500,5012,964,513,451
14000US36047006600,2172,1370,667,703
14000US36047006700,3436,450,223,227
14000US36047006800,2604,2296,1110,1186
14000US36047006900,3241,350,151,199
14000US36047007000,1508,1030,777,253
14000US36047007100,3943,1107,461,646
14000US36047007200,945,955,447,508
14000US36047007400,2709,2550,723,1827
14000US36047007500,4064,905,483,422
14000US36047007600,2507,2644,848,1796
14000US36047007700,4118,1041,742,299
14000US36047007800,3107,2139,649,1490
14000US36047008000,2314,1301,668,633
14000US36047008200,2585,1009,577,432
14000US36047008400,2019,1602,619,983
14000US36047008500,6392,1401,844,557
14000US36047008600,0,0,0,0
14000US36047008800,1402,833,550,283
14000US36047009000,1414,1586,532,1054
14000US36047009200,2416,2906,1216,1690
14000US36047009400,1993,3073,1135,1938
14000US36047009600,2589,3490,1314,2176
14000US36047009800,2908,3571,1035,2536
14000US36047010000,2475,3560,1174,2386
14000US36047010100,2496,1505,585,920
14000US36047010200,1734,2964,1126,1838
14000US36047010400,1457,3348,1261,2087
14000US36047010600,1283,3134,1063,2071
14000US36047010800,1384,2482,832,1650
14000US36047011000,1613,1049,450,599
